source_url;target_url;type;reason;priority;server_action_required
https://lastschrift-einfach.de/^;https://smart-abrechnen.de/;301 permanent;Domain ist reine Weiterleitung (M2);HIGH;nein, bereits in websites/lastschrift-einfach.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^(.*)$;https://lexoffice-einzug.de/$1;301 permanent;Host- und Protokollkanonisierung (http/www auf https ohne www);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice-sepa(\.html)?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice-stripe(\.html)?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/sepa\-mandat\-einholen\-bestandskunden(\.html)?/?$;https://smart-einzug.de/wissen/sepa-mandat-einholen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/lexoffice\-lastschrift\-oder\-ueberweisung(\.html)?/?$;https://smart-einzug.de/wissen/lastschrift-oder-ueberweisung/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/kunden\-und\-rechnungen\-richtig\-zuordnen(\.html)?/?$;https://smart-einzug.de/wissen/kunden-und-rechnungen-zuordnen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/was\-brauche\-ich\-fuer\-eine\-sepa\-lastschrift(\.html)?/?$;https://smart-einzug.de/wissen/voraussetzungen-sepa-lastschrift/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/warum\-ist\-eine\-lastschrift\-nicht\-sofort\-bezahlt(\.html)?/?$;https://smart-einzug.de/wissen/zahlungsstatus-einer-lastschrift/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/wie\-funktioniert\-ein\-sepa\-mandat(\.html)?/?$;https://smart-einzug.de/wissen/sepa-mandat/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/was\-passiert\-bei\-einer\-ruecklastschrift(\.html)?/?$;https://smart-einzug.de/wissen/ruecklastschrift/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^ratgeber/?$;https://smart-einzug.de/wissen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-public\-api\-xl(\.html)?/?$;https://smart-einzug.de/anleitungen/lexware-office-verbinden/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-lastschrift\-einrichten(\.html)?/?$;https://smart-einzug.de/anleitungen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-lastschrift(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-sepa\-lastschrift(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-lastschrifteinzug(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-stripe\-lastschrift(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^lexoffice\-sepa\-mandat(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexoffice-einzug.de/^;/%1;301 permanent;.html-Endung entfernen (eine kanonische URL-Form);HIGH;nein, bereits in websites/lexoffice-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^(.*)$;https://lexware-einzug.de/$1;301 permanent;Host- und Protokollkanonisierung (http/www auf https ohne www);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^lexware-office-offene-rechnungen(\.html)?$;/offene-rechnungen-per-lastschrift-einziehen;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^ratgeber/sepa\-lastschrift\-fristen\-vorlaufzeiten(\.html)?/?$;https://smart-einzug.de/wissen/fristen-und-vorlaufzeiten/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^ratgeber/sepa\-lastschrift\-buchen\-lexware\-office(\.html)?/?$;https://smart-einzug.de/wissen/lastschrift-in-lexware-office-verbuchen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^ratgeber/mandatsreferenz\-glaeubiger\-id(\.html)?/?$;https://smart-einzug.de/wissen/mandatsreferenz-und-glaeubiger-id/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^ratgeber/vorabankuendigung\-sepa\-lastschrift(\.html)?/?$;https://smart-einzug.de/wissen/vorabankuendigung/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^ratgeber/?$;https://smart-einzug.de/wissen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^sicherheit(\.html)?/?$;https://smart-einzug.de/sicherheit/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^hilfe(\.html)?/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^anleitung/stripe\-verbinden(\.html)?/?$;https://smart-einzug.de/anleitungen/stripe-verbinden/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^anleitung/lexware\-office\-api(\.html)?/?$;https://smart-einzug.de/anleitungen/lexware-office-verbinden/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^lexware\-office\-api(\.html)?/?$;https://smart-einzug.de/anleitungen/lexware-office-verbinden/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^lexware\-office\-lastschrift(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^lexware\-office\-sepa\-lastschrift(\.html)?/?$;/;301 permanent;Zusammenfuehrung gleichartiger Seiten (M4) oder Altadresse;HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://lexware-einzug.de/^;/%1;301 permanent;.html-Endung entfernen (eine kanonische URL-Form);HIGH;nein, bereits in websites/lexware-einzug.de/.htaccess umgesetzt
https://sevdesk-einzug.de/^(.*)$;https://sevdesk-einzug.de/$1;301 permanent;Host- und Protokollkanonisierung (http/www auf https ohne www);HIGH;nein, bereits in websites/sevdesk-einzug.de/.htaccess umgesetzt
https://sevdesk-einzug.de/^;/%1;301 permanent;.html-Endung entfernen (eine kanonische URL-Form);HIGH;nein, bereits in websites/sevdesk-einzug.de/.htaccess umgesetzt
https://sevdesk-sepa.de/^(.*)$;https://sevdesk-sepa.de/$1;301 permanent;Host- und Protokollkanonisierung (http/www auf https ohne www);HIGH;nein, bereits in websites/sevdesk-sepa.de/.htaccess umgesetzt
https://sevdesk-sepa.de/^;/%1;301 permanent;.html-Endung entfernen (eine kanonische URL-Form);HIGH;nein, bereits in websites/sevdesk-sepa.de/.htaccess umgesetzt
https://smart-einzug.de/^(.*)$;https://smart-einzug.de/$1;301 permanent;Host- und Protokollkanonisierung (http/www auf https ohne www);HIGH;nein, bereits in websites/smart-einzug.de/.htaccess umgesetzt
https://einzug-direkt.de/^preise/?$;https://smart-einzug.de/preise/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^preise/?$;https://smart-einzug.de/preise/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^funktionen/?$;https://smart-einzug.de/funktionen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^funktionen/?$;https://smart-einzug.de/funktionen/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^hilfe/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^hilfe/?$;https://smart-einzug.de/hilfe/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^impressum/?$;https://smart-einzug.de/impressum/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^impressum/?$;https://smart-einzug.de/impressum/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^agb/?$;https://smart-einzug.de/agb/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^agb/?$;https://smart-einzug.de/agb/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^$;https://smart-einzug.de/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^$;https://smart-einzug.de/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://einzug-direkt.de/^;-;404 temporaer;.html-Endung entfernen (eine kanonische URL-Form);MEDIUM;nein, bereits in websites/aliases/einzug-direkt.de/.htaccess umgesetzt
https://sepa-einzug.de/^preise/?$;https://smart-einzug.de/preise/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^preise/?$;https://smart-einzug.de/preise/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^funktionen/?$;https://smart-einzug.de/funktionen/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^hilfe/?$;https://smart-einzug.de/hilfe/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^impressum/?$;https://smart-einzug.de/impressum/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^impressum/?$;https://smart-einzug.de/impressum/?%{ENV:UTMQS};301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
https://sepa-einzug.de/^datenschutz/?$;https://smart-einzug.de/datenschutz/;301 permanent;Verlagerung dauerhafter Inhalte auf die Hauptdomain (M4);HIGH;nein, bereits in websites/aliases/sepa-einzug.de/.htaccess umgesetzt
