host;pfad;suchabsicht;cluster;rolle;indexierung;canonical;sitemap
smart-einzug.de;/;Ein Unternehmen schreibt Rechnungen in Lexware Office und sucht eine Lösung, um diese per SEPA-Lastschrift einzuziehen.;C01_lexware_office_lastschrift_einziehen;primaer;index;self;ja
lexware-einzug.de;/;Ein Unternehmen schreibt Rechnungen in Lexware Office und sucht eine Lösung, um diese per SEPA-Lastschrift einzuziehen.;C01_lexware_office_lastschrift_einziehen;konkurrent;index;self;ja
lexware-einzug.de;/lexware-sepa-einzug;Ein Unternehmen schreibt Rechnungen in Lexware Office und sucht eine Lösung, um diese per SEPA-Lastschrift einzuziehen.;C01_lexware_office_lastschrift_einziehen;ergaenzend;index;self;ja
smart-einzug.de;/lp/lexware-lastschrift/;Ein Unternehmen schreibt Rechnungen in Lexware Office und sucht eine Lösung, um diese per SEPA-Lastschrift einzuziehen.;C01_lexware_office_lastschrift_einziehen;kampagne;noindex;self;nein
lexware-einzug.de;/lp/sepa-lastschrift/;Ein Unternehmen schreibt Rechnungen in Lexware Office und sucht eine Lösung, um diese per SEPA-Lastschrift einzuziehen.;C01_lexware_office_lastschrift_einziehen;kampagne;noindex;self;nein
lexoffice-einzug.de;/;Ein Nutzer, der sein Programm noch "lexoffice" nennt, will wissen, wie er Rechnungen aus lexoffice per Lastschrift einzieht.;C02_lexoffice_lastschrift;primaer;index;self;ja
lexoffice-einzug.de;/lp/lastschrift-einrichten/;Ein Nutzer, der sein Programm noch "lexoffice" nennt, will wissen, wie er Rechnungen aus lexoffice per Lastschrift einzieht.;C02_lexoffice_lastschrift;kampagne;noindex;self;nein
smart-einzug.de;/lp/lexoffice-lastschrift/;Ein Nutzer, der sein Programm noch "lexoffice" nennt, will wissen, wie er Rechnungen aus lexoffice per Lastschrift einzieht.;C02_lexoffice_lastschrift;kampagne;noindex;self;nein
lexware-einzug.de;/lexware-office-lastschrifteinzug;Ein Unternehmen will den wiederkehrenden Lastschrifteinzug offener Lexware-Office-Rechnungen automatisieren und den Ablauf von Synchronisation bis Status verstehen.;C03_lastschrifteinzug_automatisieren;primaer;index;self;ja
lexware-einzug.de;/offene-rechnungen-per-lastschrift-einziehen;Ein Unternehmen will den wiederkehrenden Lastschrifteinzug offener Lexware-Office-Rechnungen automatisieren und den Ablauf von Synchronisation bis Status verstehen.;C03_lastschrifteinzug_automatisieren;ergaenzend;index;self;ja
smart-einzug.de;/integrationen/lexware-office/;Ein Nutzer will Lexware Office über die Public API mit SmartEinzug verbinden, sucht den API-Schlüssel, den Menüpunkt oder den benötigten Tarif.;C04_lexware_office_verbinden_api;ergaenzend;index;self;ja
smart-einzug.de;/anleitungen/lexware-office-verbinden/;Ein Nutzer will Lexware Office über die Public API mit SmartEinzug verbinden, sucht den API-Schlüssel, den Menüpunkt oder den benötigten Tarif.;C04_lexware_office_verbinden_api;primaer;index;self;ja
lexware-einzug.de;/lexware-office-stripe;Ein Unternehmen will verstehen, warum und wie Lexware Office mit Stripe verbunden wird und welche Rolle Stripe beim Einzug übernimmt.;C05_stripe_rolle_verbinden;primaer;index;self;ja
smart-einzug.de;/anleitungen/stripe-verbinden/;Ein Bestandsnutzer will sein Stripe-Konto Schritt für Schritt mit SmartEinzug verbinden, einschließlich Secret Key und Webhook.;C06_stripe_verbinden_anleitung;primaer;index;self;ja
smart-einzug.de;/so-funktionierts/;Ein neuer Nutzer will SmartEinzug von der Registrierung bis zum ersten SEPA-Einzug einrichten und wissen, welche Voraussetzungen er dafür braucht.;C07_einrichtung_erster_einzug;ergaenzend;index;self;ja
smart-einzug.de;/wissen/voraussetzungen-sepa-lastschrift/;Ein neuer Nutzer will SmartEinzug von der Registrierung bis zum ersten SEPA-Einzug einrichten und wissen, welche Voraussetzungen er dafür braucht.;C07_einrichtung_erster_einzug;ergaenzend;index;self;ja
smart-einzug.de;/anleitungen/erster-lastschrifteinzug/;Ein neuer Nutzer will SmartEinzug von der Registrierung bis zum ersten SEPA-Einzug einrichten und wissen, welche Voraussetzungen er dafür braucht.;C07_einrichtung_erster_einzug;primaer;index;self;ja
